DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps,year,round,race_name,circuit,date,GridPosition_raw,Position_raw,position_change,month,is_dnf,completed_race,grid_squared,grid_cubed,grid_log,grid_sqrt,front_row,top_three,top_five,top_ten,back_half,grid_side,grid_side_clean,grid_row,team_avg_finish_last_5,team_avg_finish_last_3,team_avg_grid_last_5,team_best_finish_last_5,team_worst_finish_last_5,team_points_last_5,team_position_change_avg_5,team_dnf_rate_last_10,team_completion_rate_season,team_wins_season,team_podiums_season,team_points_total,team_races_since_podium,team_vs_average_grid,team_momentum,team_consistency,team_avg_grid,team_avg_finish,team_performance_delta,team_last3_avg_finish,team_last3_avg_change,team_last5_avg_finish,team_last5_avg_change,team_form_trend,driver_career_races,driver_career_wins,driver_career_podiums,driver_years_experience,is_rookie,is_veteran,driver_races_at_circuit,driver_avg_finish_at_circuit,driver_best_finish_at_circuit,is_circuit_specialist,driver_avg_finish_last_5,driver_avg_position_change_5,driver_points_last_5,driver_best_finish_last_5,driver_consistency_last_5,driver_momentum,driver_hot_streak,driver_points_season,driver_avg_grid_season,driver_avg_finish_season,driver_vs_teammate,driver_vs_car_potential,teammate_avg_grid_diff,teammate_avg_finish_diff,is_team_leader,race_number,season_progress,races_remaining,post_2022,years_into_regulations,is_season_opener,is_season_finale,early_season,mid_season,late_season,covid_affected,championship_gap_leader,driver_in_contention,circuit_pole_win_rate,circuit_top3_win_rate,circuit_avg_pos_change,circuit_std_pos_change,circuit_var_pos_change,circuit_correlation,circuit_dnf_rate,circuit_improved_pct,overtaking_difficulty_index,track_length_km,num_turns,circuit_type,downforce_level,drs_zones,longest_straight_m,year_first_raced,altitude_m,typical_lap_time_s,direction,high_downforce,low_downforce,is_street,high_altitude,many_drs_zones,long_straight,grid_x_overtaking,grid_x_pole_win_rate,midfield_x_variance,back_x_variance,frontrow_x_correlation,pole_at_processional,top3_x_street,top3_x_high_df,grid_x_low_df,grid_x_team_delta,momentum_x_variance,reliability_x_circuit_dnf,veteran_new_circuit,experience_x_chaos,form_x_contention,early_x_variance,late_contention_pressure
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,5.0,5,10.0,,,,0 days 00:00:27.886000,Finished,10.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,10.0,5.0,5.0,3,False,True,100.0,1000.0,2.302585092994046,3.1622776601683795,0,0,0,1,0,dirty,0,5.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,604.2273147588417,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,8.0,8,15.0,,,,0 days 00:00:34.339000,Finished,4.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,15.0,8.0,7.0,3,False,True,225.0,3375.0,2.70805020110221,3.872983346207417,0,0,0,0,1,clean,1,8.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,906.3409721382625,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,15.0,15,16.0,,,,,+1 Lap,0.0,57.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,16.0,15.0,1.0,3,True,False,256.0,4096.0,2.772588722239781,4.0,0,0,0,0,1,dirty,0,8.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,966.7637036141466,0.0,0.0,6.028947368421052,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,19.0,R,17.0,,,,,Steering,0.0,5.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,17.0,19.0,-2.0,3,True,False,289.0,4913.0,2.833213344056216,4.123105625617661,0,0,0,0,1,clean,1,9.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,1027.1864350900307,0.0,0.0,6.028947368421052,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,18.0,R,20.0,,,,,Engine,0.0,13.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,20.0,18.0,2.0,3,True,False,400.0,8000.0,2.995732273553991,4.47213595499958,0,0,0,0,1,dirty,0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,15.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,1208.4546295176833,0.0,0.0,6.028947368421052,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
8,R GROSJEAN,GRO,grosjean,Haas,828282,haas,Romain,Grosjean,Romain Grosjean,,,16.0,R,6.0,,,,,Wheel,0.0,24.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,6.0,16.0,-10.0,3,True,False,36.0,216.0,1.791759469228055,2.449489742783178,0,0,0,1,0,dirty,0,3.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,362.53638885530495,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,2.0,2,1.0,,,,0 days 00:00:05.036000,Finished,18.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,1.0,2.0,-1.0,3,False,True,1.0,1.0,0.0,1.0,1,1,1,1,0,clean,1,1.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,60.42273147588416,0.0,0.0,0.0,0.8817226281435071,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,7.0,7,7.0,,,,0 days 00:00:32.671000,Finished,6.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,7.0,7.0,0.0,3,False,True,49.0,343.0,1.9459101490553132,2.6457513110645907,0,0,0,1,0,clean,1,4.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,422.9591203311891,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,17.0,R,5.0,,,,,Wheel,0.0,22.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,5.0,17.0,-12.0,3,True,False,25.0,125.0,1.6094379124341003,2.23606797749979,0,0,1,1,0,clean,1,3.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,16.0,-10.0,16.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,302.11365737942083,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,13.0,13,18.0,,,,0 days 00:01:15.759000,Finished,0.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,18.0,13.0,5.0,3,False,True,324.0,5832.0,2.8903717578961645,4.242640687119285,0,0,0,0,1,dirty,0,9.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,19.0,-2.0,19.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,1087.6091665659148,0.0,0.0,6.028947368421052,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
